time,PV power,Direct-in-plane,Sun Height,Air Temperature,Wind speed
20200606:1111,112.66,147.27,56.21,11.25,6.69
20200606:1211,157.52,198.45,59.56,11.53,6.69
20200606:1311,159.5,201.14,58.81,12.14,7.03
20200606:1411,180.32,225.39,54.23,12.74,7.1
20200606:1511,158.08,200.25,47.13,12.83,6.48
20200606:1611,165.2,208.39,38.71,12.8,6.28
20200606:1711,163.56,207.81,29.75,12.58,6
20200606:1811,105,143.83,20.74,12.06,5.03
20200606:1911,2.73,11.61,12.05,11.43,4.69
20200606:2011,5.62,16.58,4.03,10.92,4.41
20200606:2111,0,0,0,10.62,4.21
20200606:2211,0,0,0,10.42,4.14
20200606:2311,0,0,0,10.19,4.14
20200607:0011,0,0,0,9.91,4.07
20200607:0111,0,0,0,9.86,4
20200607:0211,0,0,0,9.69,3.72
20200607:0311,0,0,0,9.55,3.59
20200607:0411,0,0,0,9.48,3.52
20200607:0511,11.73,25.7,6.83,9.42,3.24
20200607:0611,17.84,34.12,15.12,9.58,4.28
20200607:0711,65.52,92.49,23.95,9.73,4.41
20200607:0811,72.34,100.57,32.99,10.05,4.21
20200607:0911,263.56,318.96,41.83,10.78,4.14
20200607:1011,67.94,96.08,49.9,11.63,4
20200607:1111,132.03,170.61,56.28,12.23,3.79
20200607:1211,225.19,279.14,59.65,13.2,3.66
20200607:1311,389.02,473.04,58.91,14.22,3.93
20200607:1411,336.03,411.21,54.33,14.83,3.79
20200607:1511,210.73,264.42,47.23,15.06,3.59
20200607:1611,106.45,142.78,38.81,14.79,3.38
20200607:1711,83.47,115.84,29.85,14.83,3.24
20200607:1811,70.68,100.7,20.84,14.49,2.97
20200607:1911,47.23,72.13,12.16,13.7,2.62
20200607:2011,7.08,19.07,4.13,13.28,2.69
20200607:2111,0,0,0,12.68,2.62
20200607:2211,0,0,0,12.08,2.62
20200607:2311,0,0,0,11.52,2.69
20200608:0011,0,0,0,10.87,2.48
20200608:0111,0,0,0,10.54,2.34
20200608:0211,0,0,0,10.24,2.21
20200608:0311,0,0,0,9.9,2.14
20200608:0411,0,0,0,9.6,2
20200608:0511,7.78,19.9,6.88,9.37,1.93
20200608:0611,36.89,58.37,15.16,9.36,2.07
20200608:0711,92.98,124.64,24,9.51,2
20200608:0811,179.57,223.93,33.03,9.9,2
20200608:0911,265.84,324.08,41.88,10.75,2.07
20200608:1011,698.85,860.77,49.96,11.25,2.21
20200608:1111,804.43,1013.74,56.35,12.08,2.14
20200608:1211,802.3,1021.79,59.74,12.83,1.86
20200608:1311,791.99,1014.75,59.01,13.66,1.66
20200608:1411,688.97,867.75,54.44,14.3,1.79
20200608:1511,547.9,677.92,47.33,14.65,2
20200608:1611,315.93,391.31,38.91,14.77,2.14
20200608:1711,127.95,168.38,29.95,14.56,2.28
20200608:1811,65.42,94.29,20.94,14.25,2.21
20200608:1911,8.69,21.56,12.26,13.09,2.34
20200608:2011,0,4.15,4.23,12.68,1.86
20200608:2111,0,0,0,12.19,1.31
20200608:2211,0,0,0,11.54,1.38
20200608:2311,0,0,0,10.98,1.52
20200609:0011,0,0,0,10.59,1.59
20200609:0111,0,0,0,10.17,1.59
20200609:0211,0,0,0,9.72,1.52
20200609:0311,0,0,0,9.29,1.38
20200609:0411,0,0,0,9.09,1.31
20200609:0511,7.26,19.07,6.92,8.91,1.24
20200609:0611,35.41,56.57,15.2,9.25,1.24
20200609:0711,115.1,150.97,24.03,9.93,1.59
20200609:0811,106.67,140.98,33.07,10.67,1.72
20200609:0911,73.21,102.37,41.92,11.25,1.72
20200609:1011,333.26,407.15,50.01,12.2,1.66
20200609:1111,376.6,462.06,56.42,12.16,1.1
20200609:1211,241.04,300.98,59.82,13.53,1.24
20200609:1311,182.06,231.67,59.11,14.39,1.72
20200609:1411,139.28,181.39,54.53,14.5,2
20200609:1511,137.11,178.69,47.43,14.34,2.07
20200609:1611,101.04,136.49,39.01,14.41,2.21
20200609:1711,69.95,99.67,30.04,14.32,2.55
20200609:1811,65.53,94.29,21.03,14,2.55
20200609:1911,5.55,16.58,12.35,12.71,2.28
20200609:2011,0,3.32,4.33,12.53,1.86
20200609:2111,0,0,0,12.28,1.72
20200609:2211,0,0,0,12.05,1.79
20200609:2311,0,0,0,11.88,1.93
20200610:0011,0,0,0,11.71,2.07
20200610:0111,0,0,0,11.72,2.21
20200610:0211,0,0,0,11.71,2.21
20200610:0311,0,0,0,11.65,2.14
20200610:0411,0,0,0,11.57,2.07
20200610:0511,0.37,6.63,6.96,11.44,2.07
20200610:0611,5.9,17.06,15.24,11.32,2.34
20200610:0711,121.2,158.77,24.07,11.19,2.41
20200610:0811,209.68,259.72,33.1,11.27,2.41
20200610:0911,111.73,147.27,41.95,11.66,2.28
20200610:1011,137.47,176.9,50.05,11.67,2.48
20200610:1111,289.37,353.56,56.48,12.11,2.55
20200610:1211,261.35,320.55,59.9,11.73,2.41
20200610:1311,421.16,510.11,59.19,11.71,2.48
20200610:1411,176.98,222.69,54.62,12.18,2.9
20200610:1511,85.23,116.74,47.52,12.38,3.17
20200610:1611,234.17,289.03,39.1,12.48,3.17
20200610:1711,242.59,315.71,30.13,12.85,3.17
20200610:1811,101.39,137.36,21.12,11.67,3.72
20200610:1911,48.15,72.13,12.44,9.97,3.38
20200610:2011,6.7,18.24,4.42,9.7,3.24
20200610:2111,0,0,0,9.07,3.45
20200610:2211,0,0,0,8.75,3.45
20200610:2311,0,0,0,8.71,3.72
20200611:0011,0,0,0,8.55,4.21
20200611:0111,0,0,0,8.36,4.28
20200611:0211,0,0,0,8.34,4.83
20200611:0311,0,0,0,8.81,4.97
20200611:0411,0,0,0,9.9,5.38
20200611:0511,0.06,5.8,7,10.73,6.28
20200611:0611,23.84,42.2,15.27,11.01,6.07
20200611:0711,49.99,74.53,24.09,11.02,5.31
20200611:0811,65.7,93.39,33.13,11.63,4.76
20200611:0911,144.59,184.98,41.98,12.53,4.83
20200611:1011,74.24,104.16,50.09,13.51,5.24
20200611:1111,81.45,113.14,56.53,14.69,5.59
20200611:1211,211.02,264.38,59.97,15.69,5.79
20200611:1311,208.41,261.65,59.27,16.04,6
20200611:1411,163.23,209.23,54.71,16.13,6
20200611:1511,278.3,342.82,47.6,16.35,6.34
20200611:1611,248.75,309.12,39.18,16.57,6.34
20200611:1711,56.01,83.51,30.22,16.6,6.55
20200611:1811,23.92,43.1,21.21,15.82,5.52
20200611:1911,9.7,23.21,12.53,15.01,4.97
20200611:2011,2.24,10.78,4.51,14.45,4.41
20200611:2111,0,0,0,13.64,4.21
20200611:2211,0,0,0,13.04,4.28
20200611:2311,0,0,0,12.41,4.14
20200612:0011,0,0,0,11.63,3.86
20200612:0111,0,0,0,10.96,3.86
20200612:0211,0,0,0,10.61,3.93
20200612:0311,0,0,0,10.53,3.93
20200612:0411,0,0,0,10.53,4
20200612:0511,4.14,14.09,7.03,10.6,4.14
20200612:0611,39.62,61.96,15.29,10.75,4.21
20200612:0711,50.53,75.43,24.11,11.54,3.38
20200612:0811,91.84,123.92,33.15,11.9,5.17
20200612:0911,78.53,108.65,42.01,12.34,5.52
20200612:1011,89.02,121.23,50.12,13.14,5.66
20200612:1111,79.55,110.45,56.57,13.67,5.52
20200612:1211,112.35,149.06,60.03,14.4,5.24
20200612:1311,84.36,116.74,59.35,15.02,5.45
20200612:1411,72.27,102.37,54.79,14.74,5.1
20200612:1511,79.15,110.45,47.68,14.67,5.24
20200612:1611,65.48,94.29,39.26,14.69,5.03
20200612:1711,35.23,57.47,30.3,14.88,5.03
20200612:1811,24.05,43.1,21.29,14.76,4.55
20200612:1911,3.12,12.44,12.61,14.1,4.48
20200612:2011,6.02,17.41,4.59,13.86,4.34
20200612:2111,0,0,0,13.62,4.14
20200612:2211,0,0,0,13.42,4
20200612:2311,0,0,0,13.2,3.86
20200613:0011,0,0,0,12.99,3.66
20200613:0111,0,0,0,12.78,3.59
20200613:0211,0,0,0,12.56,3.45
20200613:0311,0,0,0,12.41,3.38
20200613:0411,0,0,0,12.27,3.24
20200613:0511,0.37,6.63,7.05,12.17,3.03
20200613:0611,6.43,17.96,15.31,12.12,2.97
20200613:0711,40.75,63.76,24.13,12.17,2.69
20200613:0811,40.67,63.76,33.16,12.57,2.69
20200613:0911,148.9,190.65,42.03,12.75,3.1
20200613:1011,131.18,170.61,50.14,13.4,3.38
20200613:1111,79,110.45,56.61,14.62,3.38
20200613:1211,489.44,602.04,60.08,15.63,3.1
20200613:1311,247.24,309.94,59.42,16.45,2.97
20200613:1411,415.14,514.46,54.86,17.13,2.76
20200613:1511,384.45,478.4,47.76,17.82,2.55
20200613:1611,256.36,324.66,39.34,18.5,2.41
20200613:1711,141.23,187.43,30.37,18.53,2.34
20200613:1811,94.54,145.41,21.36,18.21,1.79
20200613:1911,47.81,73.78,12.68,16.58,1.24
20200613:2011,0,3.32,4.66,15.92,0.97
20200613:2111,0,0,0,14.98,1.59
20200613:2211,0,0,0,14.26,1.79
20200613:2311,0,0,0,13.65,1.93
20200614:0011,0,0,0,13.23,1.93
20200614:0111,0,0,0,12.83,1.86
20200614:0211,0,0,0,12.31,1.79
20200614:0311,0,0,0,12.15,1.59
20200614:0411,0,0,0,11.86,1.52
20200614:0511,20.6,38.14,7.07,11.73,1.52
20200614:0611,11.13,25.14,15.32,12.63,1.59
20200614:0711,50.04,75.43,24.14,13.2,1.93
20200614:0811,378.46,465.65,33.17,14.31,2.48
20200614:0911,395.2,484.79,42.04,15.39,2.62
20200614:1011,549.99,682.45,50.16,16.33,2.55
20200614:1111,368.91,458.73,56.64,17.43,2.62
20200614:1211,255.28,322.69,60.13,18.19,2.48
20200614:1311,210.29,269.17,59.48,18.66,2.62
20200614:1411,116.27,157.14,54.93,18.81,2.62
20200614:1511,179.55,232.92,47.83,18.95,2.28
20200614:1611,441.95,558.86,39.41,19.03,2.14
20200614:1711,244.57,334.95,30.44,18.53,1.79
20200614:1811,62.88,120.81,21.43,17.02,1.24
20200614:1911,47.01,72.96,12.75,17.15,1.38
20200614:2011,2.63,11.61,4.73,16.53,0.69
20200614:2111,0,0,0,15.54,0.48
20200614:2211,0,0,0,14.28,0.76
20200614:2311,0,0,0,12.97,1.03
20200615:0011,0,0,0,12.15,1.03
20200615:0111,0,0,0,11.76,0.97
20200615:0211,0,0,0,11.26,0.97
20200615:0311,0,0,0,11.82,0.69
20200615:0411,0,0,0,11.63,0.48
20200615:0511,16.91,33.16,7.08,11.37,0.28
20200615:0611,49.56,97.31,15.33,11.63,0.07
20200615:0711,221.73,301.37,24.14,13.55,0.28
20200615:0811,412.7,518.94,33.18,14.93,0.62
20200615:0911,525.74,661.23,42.04,16.37,1.1
20200615:1011,652.49,835.18,50.18,17.43,1.45
20200615:1111,607.14,778.69,56.67,18.36,1.45
20200615:1211,745.79,980.9,60.17,19.11,1.52
20200615:1311,731.94,959.99,59.53,19.71,1.66
20200615:1411,710.4,927.95,54.99,20.17,1.66
20200615:1511,426.87,542.67,47.9,20.23,1.45
20200615:1611,98.74,137.39,39.47,20.1,1.1
20200615:1711,114.9,157.25,30.51,20.09,0.83
20200615:1811,83.08,138.4,21.5,19.8,0.69
20200615:1911,32.47,54.72,12.82,17.68,1.1
20200615:2011,0,3.32,4.8,16.26,1.38
20200615:2111,0,0,0,15.12,1.17
20200615:2211,0,0,0,14.24,0.62
20200615:2311,0,0,0,13.48,0.83
20200616:0011,0,0,0,12.62,1.31
20200616:0111,0,0,0,11.91,1.38
20200616:0211,0,0,0,11.8,1.31
20200616:0311,0,0,0,12.17,1.24
20200616:0411,0,0,0,12.4,1.17
20200616:0511,0.05,5.8,7.08,12.92,1.24
20200616:0611,6.94,18.86,15.33,13.52,1.86
20200616:0711,82.09,113.93,24.14,13.63,1.93
20200616:0811,82,114.04,33.18,14.24,1.86
20200616:0911,97.62,132.9,42.04,14.97,1.72
20200616:1011,129.13,170.61,50.18,15.79,1.66
20200616:1111,214.33,272.33,56.68,16.41,1.59
20200616:1211,119.3,159.84,60.2,17.14,1.93
20200616:1311,111.64,150.86,59.58,17.35,2
20200616:1411,152.91,200.25,55.05,17.99,2.28
20200616:1511,101.43,139.18,47.95,18.37,2.55
20200616:1611,39.52,63.76,39.53,18.26,2.97
20200616:1711,152.04,199.58,30.57,17.66,2.83
20200616:1811,32.82,54.78,21.56,16.25,2.69
20200616:1911,3.09,12.44,12.88,15.35,2.48
20200616:2011,0,3.32,4.86,14.96,2.55
20200616:2111,0,0,0,14.49,2.41
20200616:2211,0,0,0,14.12,2.41
20200616:2311,0,0,0,13.74,2.41
20200617:0011,0,0,0,13.41,2.41
20200617:0111,0,0,0,13.06,2.34
20200617:0211,0,0,0,12.68,2.34
20200617:0311,0,0,0,12.38,2.28
20200617:0411,0,0,0,12.13,2.34
20200617:0511,7.14,19.07,7.08,11.96,2.48
20200617:0611,64.76,94.59,15.33,11.94,2.69
20200617:0711,41.44,64.65,24.13,12.26,2.28
20200617:0811,56.98,83.51,33.17,12.57,2.97
20200617:0911,82.59,114.04,42.04,13.19,3.1
20200617:1011,95.36,129.31,50.18,13.74,2.9
20200617:1111,148.7,192.16,56.7,14.49,2.48
20200617:1211,214.51,271.03,60.23,15.73,2.21
20200617:1311,106.25,143.67,59.62,16.16,2.14
20200617:1411,127.14,168.82,55.1,16.63,1.79
20200617:1511,126.21,167.92,48.01,16.82,1.66
20200617:1611,110.31,149.06,39.59,16.91,1.79
20200617:1711,23.74,43.1,30.62,16.96,2.07
20200617:1811,13.97,29.63,21.62,16.64,2.14
20200617:1911,3.09,12.44,12.93,15.54,1.79
20200617:2011,0,3.32,4.91,15.2,1.72
20200617:2111,0,0,0,14.75,1.66
20200617:2211,0,0,0,14.33,1.59
20200617:2311,0,0,0,14.06,1.59
20200618:0011,0,0,0,13.84,1.59
20200618:0111,0,0,0,13.58,1.72
20200618:0211,0,0,0,13.36,1.66
20200618:0311,0,0,0,13.08,1.59
20200618:0411,0,0,0,12.77,1.52
20200618:0511,0.05,5.8,7.08,12.47,1.52
20200618:0611,54.61,81.56,15.32,12.88,1.59
20200618:0711,121.53,160.89,24.12,13.12,1.93
20200618:0811,243.12,302.1,33.16,13.55,2.07
20200618:0911,328.47,402.82,42.03,13.89,2.07
20200618:1011,193.84,245.31,50.18,14.56,2.07
20200618:1111,524.16,652.63,56.7,15.68,1.93
20200618:1211,321.97,401.73,60.25,16.37,1.79
20200618:1311,101.22,138.29,59.66,16.92,1.72
20200618:1411,126.07,167.92,55.14,17.14,1.79
20200618:1511,315.34,394.37,48.06,17.44,2.07
20200618:1611,260.21,327.4,39.64,17.32,2.48
20200618:1711,40.45,64.65,30.68,17.09,2.48
20200618:1811,10.9,25.14,21.67,16.5,2.28
20200618:1911,11.35,25.7,12.98,15.26,2.62
20200618:2011,0,3.32,4.96,14.27,2.9
20200618:2111,0,0,0,13.3,2.9
20200618:2211,0,0,0,12.42,3.03
20200618:2311,0,0,0,11.58,3.1
20200619:0011,0,0,0,11.11,3.03
20200619:0111,0,0,0,10.77,3.03
20200619:0211,0,0,0,10.53,3.17
20200619:0311,0,0,0,10.29,3.17
20200619:0411,0,0,0,10.04,3.1
20200619:0511,0.07,5.8,7.06,9.76,3.03
20200619:0611,5.96,17.06,15.3,9.61,2.9
20200619:0711,21.18,38.61,24.1,9.9,2.62
20200619:0811,130.2,167.32,33.14,10.27,3.03
20200619:0911,214.68,264.67,42.01,11.07,2.83
20200619:1011,194.66,243.16,50.17,12.03,2.55
20200619:1111,229.75,285.69,56.7,13.38,2.48
20200619:1211,323.98,400.02,60.26,14.6,2.14
20200619:1311,295.34,367.63,59.68,15.85,2.21
20200619:1411,243.3,305.51,55.18,16.69,2.97
20200619:1511,300.31,373.33,48.1,16.95,3.1
20200619:1611,234.79,295.35,39.68,16.9,3.38
20200619:1711,127.3,168.41,30.72,16.19,3.38
20200619:1811,67.37,97.14,21.71,15.51,3.17
20200619:1911,13.69,29.02,13.03,14.56,2.69
20200619:2011,8.12,20.73,5,13.85,2.28
20200619:2111,0,0,0,13.26,1.72
20200619:2211,0,0,0,12.75,1.45
20200619:2311,0,0,0,12.26,1.03
20200620:0011,0,0,0,11.7,1.1
20200620:0111,0,0,0,11.14,1.45
20200620:0211,0,0,0,10.43,1.66
20200620:0311,0,0,0,10.09,1.86
20200620:0411,0,0,0,9.76,2
20200620:0511,18.94,35.65,7.05,9.76,2.21
20200620:0611,69.95,106.33,15.28,10.6,2.28
20200620:0711,163.24,210.95,24.08,12,3.52
20200620:0811,260.55,318.82,33.12,13.26,5.31
20200620:0911,234.08,288.19,41.99,13.72,5.52
20200620:1011,417.75,501.79,50.15,14.34,6.14
20200620:1111,310.06,377.34,56.69,14.82,6.48
20200620:1211,340.64,414.64,60.27,16.13,7.45
20200620:1311,192.63,243.35,59.71,16.71,8.07
20200620:1411,81.58,114.04,55.21,16.67,8.28
20200620:1511,53.92,80.82,48.14,16.27,8.14
20200620:1611,75.2,105.96,39.72,15.46,8.14
20200620:1711,30.38,51.18,30.76,14.36,7.38
20200620:1811,11.73,26.04,21.75,13.33,7.38
20200620:1911,3.14,12.44,13.07,13.36,7.31
20200620:2011,0,3.32,5.04,13.31,6.62
20200620:2111,0,0,0,13.3,5.24
20200620:2211,0,0,0,13.61,4.21
20200620:2311,0,0,0,13.53,4.14
20200621:0011,0,0,0,12.61,3.93
20200621:0111,0,0,0,11.69,4.07
20200621:0211,0,0,0,11.31,4.21
20200621:0311,0,0,0,11.35,4.21
20200621:0411,0,0,0,11.45,4.14
20200621:0511,20.01,37.31,7.02,11.66,4.28
20200621:0611,22.33,40.41,15.25,12,4.69
20200621:0711,137.87,179.46,24.05,12.38,3.79
20200621:0811,255.18,312.82,33.09,12.57,3.93
20200621:0911,315.53,383.5,41.97,13.55,3.93
20200621:1011,598.42,728.68,50.13,14.56,4.07
20200621:1111,221.29,276.82,56.68,15.4,4.28
20200621:1211,656.62,810,60.27,15.98,4.28
20200621:1311,429.64,525.62,59.72,16.38,4.55
20200621:1411,648.81,792.48,55.24,15.98,5.17
20200621:1511,296.86,364.58,48.17,15.88,5.38
20200621:1611,351.44,430.27,39.76,15.71,5.03
20200621:1711,254.83,336.98,30.8,15.77,4.97
20200621:1811,66.01,95.18,21.79,15.26,4.41
20200621:1911,49.03,74.61,13.1,14.85,3.59
20200621:2011,8.64,21.56,5.07,14.17,2.62
20200621:2111,0,0,0,13.42,2.48
20200621:2211,0,0,0,12.79,2.48
20200621:2311,0,0,0,12.06,2.76
20200622:0011,0,0,0,11.55,3.38
20200622:0111,0,0,0,11.16,3.52
20200622:0211,0,0,0,10.93,3.86
20200622:0311,0,0,0,11.18,4.41
20200622:0411,0,0,0,11.92,5.38
20200622:0511,9.28,22.38,6.99,12.51,6
20200622:0611,38.48,61.06,15.22,13.01,6
20200622:0711,32.6,53.88,24.02,13.68,5.59
20200622:0811,46.25,70.94,33.05,14.19,5.17
20200622:0911,118.25,156.25,41.93,15.16,6.28
20200622:1011,310.95,380.19,50.1,15.83,5.86
20200622:1111,320.88,392.9,56.66,16,5.59
20200622:1211,166.11,212.82,60.26,16.18,5.38
20200622:1311,186.59,237.06,59.73,16.71,5.79
20200622:1411,123.49,163.43,55.26,16.71,6.07
20200622:1511,163.5,210.29,48.2,17.06,6.28
20200622:1611,219.15,275.36,39.79,16.63,4.9
20200622:1711,60.46,88.9,30.83,16.42,5.17
20200622:1811,102.64,141.76,21.82,16.83,6.14
20200622:1911,27.6,48.08,13.13,16.69,5.24
20200622:2011,0.04,5.8,5.09,16.05,5.38
20200622:2111,0,0,0,15.59,4.83
20200622:2211,0,0,0,15.28,4.34
20200622:2311,0,0,0,15.09,4.14
20200623:0011,0,0,0,14.92,3.79
20200623:0111,0,0,0,14.82,3.45
20200623:0211,0,0,0,14.72,3.17
20200623:0311,0,0,0,14.59,2.97
20200623:0411,0,0,0,14.38,2.83
20200623:0511,0.04,5.8,6.96,14.26,2.48
20200623:0611,9.83,23.35,15.18,14.21,2.14
20200623:0711,72.29,102.37,23.98,14,2.28
20200623:0811,61.76,89.8,33.02,14.12,2.76
20200623:0911,79.11,110.45,41.9,14.32,3.31
20200623:1011,153.82,197.55,50.07,14.47,3.79
20200623:1111,91.89,125.71,56.63,14.88,3.66
20200623:1211,113.06,150.86,60.25,15.6,4.14
20200623:1311,117.58,156.25,59.73,15.87,4.48
20200623:1411,174.42,222.69,55.27,15.78,3.93
20200623:1511,93.92,128.41,48.22,15.57,4.07
20200623:1611,130.81,171.51,39.81,15.56,4.28
20200623:1711,56.94,84.41,30.85,15.68,4.69
20200623:1811,10.96,25.14,21.84,15.68,4.69
20200623:1911,41.6,65.49,13.15,14.92,3.38
20200623:2011,0,3.32,5.11,14.73,3.17
20200623:2111,0,0,0,14.62,2.9
20200623:2211,0,0,0,14.49,2.69
20200623:2311,0,0,0,14.38,2.62
20200624:0011,0,0,0,14.29,2.69
20200624:0111,0,0,0,14.2,2.62
20200624:0211,0,0,0,14.13,2.62
20200624:0311,0,0,0,14.07,2.55
20200624:0411,0,0,0,13.98,2.14
20200624:0511,0.35,6.63,6.92,13.86,1.52
20200624:0611,9.25,22.45,15.14,13.81,1.31
20200624:0711,27.55,47.59,23.94,13.86,1.1
20200624:0811,60.13,88,32.97,14.14,1.31
20200624:0911,348.63,430.78,41.85,14.63,1.31
20200624:1011,329.82,410.43,50.03,15.37,1.17
20200624:1111,545.47,691.96,56.6,16.38,0.97
20200624:1211,326.52,414.15,60.23,17.6,0.48
20200624:1311,216.63,280.29,59.72,18.73,0.21
20200624:1411,295.89,380.43,55.28,19.55,0.14
20200624:1511,271.17,350.08,48.23,20.32,0.21
20200624:1611,138.93,186.79,39.83,20.47,0.41
20200624:1711,104.76,145.22,30.87,20.69,0.83
20200624:1811,66.22,98.05,21.86,20.57,1.17
20200624:1911,10,24.04,13.17,19.11,1.59
20200624:2011,0,3.32,5.13,18.43,1.79
20200624:2111,0,0,0,17.79,1.86
20200624:2211,0,0,0,17.17,1.79
20200624:2311,0,0,0,16.54,1.66
20200625:0011,0,0,0,15.82,1.72
20200625:0111,0,0,0,15.29,1.66
20200625:0211,0,0,0,14.78,1.66
20200625:0311,0,0,0,14.22,1.66
20200625:0411,0,0,0,13.77,1.59
20200625:0511,9.77,23.21,6.87,13.55,1.45
20200625:0611,65.03,96.85,15.09,14.22,1.24
20200625:0711,170.85,226.16,23.89,15.12,1.66
20200625:0811,246.46,310.54,32.92,16.38,1.79
20200625:0911,506.11,632.99,41.81,17.56,1.86
20200625:1011,560.53,710.67,49.98,18.9,1.86
20200625:1111,727.89,956.61,56.56,20.2,1.59
20200625:1211,649.95,860.37,60.2,21.41,1.03
20200625:1311,546.76,718.64,59.71,22.19,0.76
20200625:1411,265.48,346.36,55.28,22.38,0.28
20200625:1511,269.68,352.12,48.24,22.38,0.07
20200625:1611,239.58,313.92,39.85,22.72,0.41
20200625:1711,166.25,223.74,30.89,22.46,0.55
20200625:1811,102.12,146.1,21.88,21.74,0.48
20200625:1911,2.97,12.44,13.18,21.05,0.83
20200625:2011,0,3.32,5.13,20.08,0.76
20200625:2111,0,0,0,18.77,0.76
20200625:2211,0,0,0,17.79,0.97
20200625:2311,0,0,0,17.11,1.03
20200626:0011,0,0,0,16.3,1.38
20200626:0111,0,0,0,15.9,1.79
20200626:0211,0,0,0,15.28,1.59
20200626:0311,0,0,0,14.63,1.31
20200626:0411,0,0,0,13.98,1.24
20200626:0511,11.42,25.7,6.82,14.06,1.03
20200626:0611,28.14,48.49,15.04,14.65,1.17
20200626:0711,44.99,70.04,23.84,15.84,1.45
20200626:0811,138.3,182.15,32.87,16.81,1.79
20200626:0911,128.91,171.51,41.75,17.88,2.62
20200626:1011,102.42,140.08,49.93,18.11,3.1
20200626:1111,271.94,341.73,56.51,18.23,3.1
20200626:1211,532.02,667.44,60.16,18.84,2.9
20200626:1311,401.73,501.48,59.69,18.75,2.97
20200626:1411,180.73,232.57,55.27,18.15,3.79
20200626:1511,57.25,85.31,48.25,17.14,4.41
20200626:1611,145.53,188.58,39.85,15.4,4.07
20200626:1711,128.72,168.46,30.9,14.17,3.86
20200626:1811,33.26,54.78,21.89,13.83,4.41
20200626:1911,7.6,19.9,13.19,13.47,3.52
20200626:2011,0,3.32,5.14,13.35,3.79
20200626:2111,0,0,0,13.2,3.59
20200626:2211,0,0,0,13.12,3.31
20200626:2311,0,0,0,13.1,2.97
20200627:0011,0,0,0,12.99,2.62
20200627:0111,0,0,0,12.79,2.21
20200627:0211,0,0,0,12.69,1.86
20200627:0311,0,0,0,12.86,1.66
20200627:0411,0,0,0,12.84,1.45
20200627:0511,17.4,33.99,6.76,12.89,1.59
20200627:0611,65.41,96.71,14.98,13.02,2.14
20200627:0711,117.71,156.48,23.78,13.34,1.93
20200627:0811,56.15,82.61,32.81,12.84,2.9
20200627:0911,122.41,159.84,41.7,12.44,3.24
20200627:1011,60.13,87.1,49.88,12.18,3.38
20200627:1111,230.74,284.8,56.46,12.52,3.45
20200627:1211,150.66,193.06,60.12,13.71,4.34
20200627:1311,359.06,436.04,59.66,14.49,4.97
20200627:1411,304.35,371.76,55.26,14.89,5.52
20200627:1511,394.91,474.98,48.24,14.07,5.93
20200627:1611,111.29,147.27,39.86,13.57,5.59
20200627:1711,239.57,303.98,30.9,13.1,5.45
20200627:1811,91.86,125.01,21.89,12.17,5.24
20200627:1911,46.34,70.47,13.19,12.11,5.24
20200627:2011,9.34,22.38,5.13,11.41,5.45
20200627:2111,0,0,0,10.72,5.24
20200627:2211,0,0,0,10.57,5.66
20200627:2311,0,0,0,10.46,5.45
20200628:0011,0,0,0,10.35,5.93
20200628:0111,0,0,0,10.24,5.59
20200628:0211,0,0,0,10.27,6.41
20200628:0311,0,0,0,10.3,6
20200628:0411,0,0,0,10.29,6.14
20200628:0511,18.28,34.82,6.7,10.46,5.86
20200628:0611,62.05,90.28,14.92,10.66,6
20200628:0711,161.8,207.82,23.72,10.92,5.72
20200628:0811,211.82,260.48,32.75,11.29,5.03
20200628:0911,237.89,290.36,41.63,11.98,5.45
20200628:1011,74.07,103.27,49.81,12.04,6.28
20200628:1111,176.81,221.8,56.4,12.9,6.21
20200628:1211,197.11,245.14,60.07,13.23,6.9
20200628:1311,169.7,213.72,59.63,13.18,6.97
20200628:1411,324.16,390.58,55.24,13,6.41
20200628:1511,280.69,340.73,48.23,13.44,6.9
20200628:1611,175.83,221.03,39.85,13.49,6.76
20200628:1711,133.68,172.96,30.9,13.3,6.55
20200628:1811,16.21,32.33,21.89,12.99,6.76
20200628:1911,23.11,41.45,13.18,12.23,6.62
20200628:2011,11.58,25.7,5.12,11.9,6.21
20200628:2111,0,0,0,11.78,6.41
20200628:2211,0,0,0,11.77,6.41
20200628:2311,0,0,0,11.73,6.28
20200629:0011,0,0,0,11.73,6.21
20200629:0111,0,0,0,11.68,6.14
20200629:0211,0,0,0,11.63,6
20200629:0311,0,0,0,11.57,5.93
20200629:0411,0,0,0,11.48,5.93
20200629:0511,0.37,6.63,6.64,11.42,6
20200629:0611,67.28,99.54,14.85,11.37,5.93
20200629:0711,43.23,66.45,23.65,11.33,6.28
20200629:0811,63.52,90.69,32.68,11.53,6.55
20200629:0911,98.13,131.1,41.57,12.03,6.48
20200629:1011,73.24,102.37,49.75,12.11,5.72
20200629:1111,114.23,149.96,56.34,12.62,6.28
20200629:1211,110.99,146.37,60.02,12.94,6.83
20200629:1311,119.37,156.25,59.59,13.23,6.34
20200629:1411,208,257.38,55.22,12.94,6.48
20200629:1511,250.13,305.47,48.22,12.99,6.34
20200629:1611,254.01,310.5,39.84,12.85,5.52
20200629:1711,148.59,190.34,30.89,13.11,6
20200629:1811,22.92,41.31,21.88,12.77,4.69
20200629:1911,3.62,13.26,13.17,12.36,4
